keyword	title	content
升麻	热点追踪：涨价大潮中，升麻为何迟迟不动？	从今年八月份开始，东北系列野生药材都开始涨价模式，苍术、白鲜皮、赤芍、淫羊藿均上涨25%左右。升麻也属于资源逐渐减少的品种，但是价格并没有上涨，反而从7月产新后呈现行情小幅下...
升麻	[汤红]“药市淡季”来袭升麻后市如何	市场在经历了去年的一番购销热潮后，今年市场的整体基调似乎已经确定，“低迷”的市场状态在持续蔓延。去年，热了一年的东北品种，现也早已没...
升麻	关升麻涨价未来继续向好	关升麻产新结束以来行情稳步回升，时至年底国产统个涨为28-30元，北朝进口货涨为20-23元。与半年前产新初期相比，涨幅均超过50%。在整体需求不旺及少数品...
升麻	升麻价升路漫漫	升麻为我国的常用中药材，以野生资源供应市场。按地理来源分为西升麻和北升麻。其中北升麻主产在内蒙，黑龙江、吉林、辽宁三省，习称关升麻；西升麻主产在四川、青海、陕西...
升麻	北朝货冲击国产资源升麻后市回调仍存	关注点1：国内野生资源有限年产新量逐年递减升麻主要是野生资源，农户采挖基本是大小均采，这不仅对资源的可持续发展造成了一定的破坏，也使得资源年产新量逐年减少。近...
升麻	丹东口岸北朝来货近况	丹东口岸北朝来货近况近期从北朝经丹东口岸进口到我国的一些中药材来货依然不断，只是个别品种有多有少，虽价格比国产货便宜，但大多数质量赶不上国产货好。玉竹口岸存货...
升麻	升麻后市分析	关注点：升麻正值产新，受市场淡季影响，走动较缓。东北统售价较前期有所下滑，目前在21元左右；川升麻行情稳定，售价保持在25元。基本面：1.升麻是多年生野生品种...
升麻	冀防风后市行情仍向好	目前河北产家种防风起挖结束，鲜货上市接近尾声，干货上市处于高峰，市场行情不降反升。鲜货由产新初期4.5-5元升为6元，升幅达20-22%。干货则由20-21元...
升麻	关升麻缘何价落迅回升	关升麻主产于我国辽宁省铁岭、本溪，吉林的通化、永吉，黑龙江齐齐哈尔、牡丹江等地。近期关升麻在快速下跌之后，突然一个鲤鱼打挺，价格连续稳步回升，北朝货由最低时的...
升麻	今日话题（第32期）：论中药质量失控对药用资源的破	2010年，是“国际生物多样性年”！1月12日，联合国“生物多样性年”活动正式启动！1月26日，新华社播发了中...
升麻	部分东北野生品种简评	东北野生品种近期走势持续向好，以白鲜皮，赤芍，苍术，升麻等为代表，市价涨幅巨大，白鲜皮从16元左右升至24元左右，赤芍从13-14元升至17-18元，苍术从1...
升麻	2008年提取物热销品种	迄今为止，我国已有800多家植提物出口企业，其中大约200家为生产植提物的企业，真正形成一定规模的不过一二十家公司，包括天津尖峰、浙江康恩贝、陕西天诚、陕西塞...
