keyword	updateTime	price
枸杞	2023-06-05	48.000
枸杞	2023-06-06	48.000
枸杞	2023-06-07	48.000
枸杞	2023-06-08	48.000
枸杞	2023-06-09	48.000
枸杞	2023-06-10	48.000
枸杞	2023-06-11	48.000
枸杞	2023-06-12	48.000
枸杞	2023-06-13	48.000
枸杞	2023-06-14	48.000
枸杞	2023-06-15	48.000
枸杞	2023-06-16	48.000
枸杞	2023-06-17	48.000
枸杞	2023-06-18	48.000
枸杞	2023-06-19	48.000
枸杞	2023-06-20	48.000
枸杞	2023-06-21	48.000
枸杞	2023-06-22	48.000
枸杞	2023-06-23	48.000
枸杞	2023-06-24	48.000
枸杞	2023-06-25	48.000
枸杞	2023-06-26	48.000
枸杞	2023-06-27	48.000
枸杞	2023-06-28	48.000
枸杞	2023-06-29	48.000
枸杞	2023-06-30	48.000
枸杞	2023-07-01	48.000
枸杞	2023-07-02	48.000
枸杞	2023-07-03	48.000
枸杞	2023-07-04	48.000
