keyword	title	content
柴胡	投稿资讯▏晋商言药：山西品种点评	最近这几天，天气还是继续下雨，这对一些低杆作物，是一种严重打击，如，生地，黄芩，柴胡几乎泡在水里，目前生地已经无法推断单产了，死苗的死苗，烂根的烂根，然而这几天一些公司厂家以及加工户好像已经反应...
柴胡	陕西宝鸡陈仓区柴胡零星产新价格坚挺走动顺畅	柴胡是耐寒、耐旱、怕涝的药用植物，在生态环境较差的地区反能显示其优势，因此柴胡在全国种植面积分布广泛。甘肃、山西和陕西是柴胡的三大种植产区，陕西省渭南市、安康市、宝鸡市、商洛市等地的柴胡种植面积...
柴胡	西北品种点评之柴胡：两极分化日趋严重	一、产地分布柴胡在全国种植面积分布广泛。甘肃、山西和陕西是柴胡的三大种植产区，甘肃省家种柴胡主产以陇西为中心的甘肃定西北部各县，定西市陇西县通渭、马河镇一带大面积种植。近年来陇南一带（礼县、宕昌县、武...
柴胡	2018汛期直击：甘肃遇最强降雨天气部分产地红色预警	据甘肃省气象局7月11日9时发布：2018年7月9～11日我省出现今年以来最强降水，陇东南最大累积雨量达200～250毫米，强降水主要集中在10日白天到夜间，陇南、天水、平凉、庆阳等市出现暴雨，局地出...
柴胡	强监管周期下，柴胡的优胜劣汰	药典是国家对药品质量标准及检验方法所作的技术规定，是药品生产、供应、使用、检验、管理部门共同遵循的法定依据。
柴胡	柴胡质量参差不齐，后市价格能否出现波澜？	柴胡是药用大宗品种，有着悠久广泛的用药历史，本品为伞形科植物柴胡或狭叶柴胡的干燥根。柴胡具有解热镇痛、抗炎镇静、
柴胡	天地网创始人龙兴超先生深入产地一线调研豫西丹参、黄芩长势情况	天地网三门峡公司地理位置优越，连翘、丹参、黄芩、柴胡这四个大品种的核心主产地均在公司周边方圆几十公里之内，龙兴超先生作为一名业界资深专家，对当地中药材品种进行了分析和指导，从战略高度对三门峡公司如何做...
柴胡	流感疫情来势汹涌，能否刺激柴胡行情再走高价？	今年冬季的流感疫情来势汹涌，让医疗机构忙得应接不暇，各大药店部分清热解毒类用药销量猛增，甚至还有缺货的现象。这也让清热解毒的中药材原料备受关注，而柴胡对普通感冒、流行性感冒、疟疾、肺炎等有较好的退热效...
柴胡	中药材大咖考察：暴涨？暴跌？甘肃药材的众生相！	党参、当归、黄芪作为甘肃药材行情的晴雨表和风向标，引领着陇西药材发展的方向。但黄芩、款冬花、甘草、旱半夏也引领全国价格风向标，近年有句话说的好，得甘肃药材得天下。近期是甘肃各种药材集中产新期，甘肃药材...
柴胡	湖北英山苍术当归和柴胡病虫害情况调研	本期，第3调研小组对凯丰农资服务有限公司、宁夏大地生态有限公司和宁夏中卫市中宁县枸杞产业发展服务局进行调研
柴胡	《药材问答》第35期：元胡、柴胡等品种近况概览	《药材问答》是一档问答形式的线上栏目。每一期，针对广大天地网用户所提出的热点问题，都会由栏目制作人及天地网智库专家及时作出回答，编写制作成集锦或深度文章。——本期焦点：元胡、柴胡近期行情概览。
柴胡	聚焦：柴胡产新，种源混乱质量堪忧！	柴胡，做为经典用药之一，在我国中医药原料来源上地位重要。张仲景就擅用柴胡，大小柴胡汤、柴葛解肌汤、柴胡龙骨牡蛎汤等无不成为后世医家推崇的千古名方；日本汉方中同样把柴胡当作常备药，从我国引进改良出“三岛...
柴胡	快讯：西北部分低价药材进入涨价通道！	据天地网陇西分公司9月11日消息：西北品种党参、当归刚刚表演完，市场平静少许日子。但近几日，其它西北地产药材又开始起势，纷纷进入小幅上涨通道，其中牛蒡子和款冬花引领涨势品种前列......
柴胡	曲永霞点评西北10大旱灾品种	2016年上半年，一场持续2个多月的旱灾袭击河西走廊。虽然期间偶有局部降雨，但由于落雨不均匀，根本无法缓解河西走廊特别是定西地区大面积的干旱。做为西北药材主产地，多个地产品种影响明显，价格纷纷...
柴胡	中药材天地网考察山西闻喜记实	山西省南部考察第四站是山西省闻喜县，9月21日下午笔者陪同中药材天地网专家委员会的三位老师：蒋尔国、贾海彬、龙银，驱车来到了闻喜县凹底镇药材专业村→辛村，并受到了天地网会员张永俊的热情接待。　　闻...
柴胡	国家严查整顿中药材行业背后	在国家严查、严打中药材流通端和终端之后，整个市场陷入前所未有的低迷之中，虽然真正原因是供大于求，但政策影响无异于雪上加霜。近期，国家各种关于中医药政策的消息和文...
柴胡	[陇西药市]甘肃陇西中药材种植尾声看药市	四月下旬，陇西产区药材种植接近尾声。受连续多雨天气的影响，土地墒情极好，药材种苗因上市量减少价格转坚，但药材因资金面偏紧和生产压力加大，却是反其道而行之，走动趋...
柴胡	当中药材偶遇检查零合格您作何感想	江湖流传着这样一句话，中医亡于药。笔者起初不信，总是抱着那种不切实际的幻想。异想天开的以为中药材自古以来都是人与大自然最完美的结合。我们向自然学习，从自然这个纯...
柴胡	[陇西药市]跨年行情中的陇西中药材	年末岁尾，消费旺季，为了应对过节期间的生产和销售，药厂、药商和加工户都要补充部分货源以备节日需求，顺便储备节后供应货源，各类药材销量有所增加，走动转畅，但价格相...
柴胡	柴胡行情难以翻江倒海	家种柴胡2004年量大烂市后，2007年价格开始大反弹，2011达到历史高价，2011年牛市结束，产新之后价格开始走下坡路，目前价格基本稳定在统货30-40...
柴胡	[陇西药市]陇西产新家种药材近期众生相	9月底10月初，陇西部分地产家种药材已经次第产新，但与往年不同的是，今年的行情却是冷冷清清、凄凄惨惨，亮点众里难寻。党参：无疑是最受商加关注的龙头品种...
柴胡	[陇西药市]八月中旬陇西药市中药材动态	八月中旬，入秋之后天气来了个180度大转弯，气温转凉阴雨增多，给药材的生产增添了联想空间。第七届药博会召开在即，各路药商将再此云集查看行情，探讨商机。淡旺季...
柴胡	高温干旱能否引发北方药材行情上升	入伏以来，受厄尔尼诺现象影响，北方各地普遍出现高温干旱，12个省份出现严重旱情，给农业生产造成严重损失，高温干旱现象使部分药材品种价格转坚走势转好，部分市场...
柴胡	[陇西药市]六月下旬陇西地产中药材品种动态	6月下旬，药市进入需求淡季，但市场相对前期运行好转，各类药材结束了跌宕起伏的波动，进入正常购销，走势转稳。地产三大品种行情转好，走势平稳。党参结...
柴胡	三月上旬陇西地产中药材品种动态及预警	三月上旬，随着天气转暖，又到了一年一度的药材种植季节，各种药材种苗开始采挖，部分种苗已经开始流通，但相关药材受库存和扩种压力影响，商家观望情绪浓厚，走势不快，价...
柴胡	[刘红卫]北方普降中到大雪对药材有利有害？	2013年9月以来，黄淮及山西、陕西南部等地降水不足50毫米，较常年同期偏少5-8成，陕西关中与东部、山西南部、河南西北部等地土壤墒情持续偏差，河南省受旱情况尤...
柴胡	元月上旬西北家种野生药材走势分析	2014年元月恰逢农历腊月，往年正是商家储备年货的旺季，各类药材也将迎来一波销售旺季，但受宏观经济形势影响，今年各类药材走势不温不火，价格涨跌不一。...
柴胡	流年似水一三一四药市回顾与展望（下）——展望篇	导言：我们总爱沉浸在美好的回忆之中，固定的思维模式让我们在过去的记忆里难以自拔，可2013年整年对于药市来说绝非黄粱美梦，那种闭着眼睛都能赚钱的傻瓜...
柴胡	清热解毒类药材旺季难迎利好	时令进入严冬，各地频发严寒冰冻天气，新型流感H10N8也闪亮登场，清热解毒类药材又迎来使用旺季，但目前市场各类药材反应平淡，走势一般，热点极少。一、西北品种...
柴胡	家种柴胡行情继续平淡	家种柴胡自2011年冲高回落以来，一直平平淡淡。今年产新之后，产地收购价格一直在24-30元之间徘徊，如此价位，与当前的物价水平相比，实属平淡。其能否或何时迎来...
柴胡	11月上旬西北野生中药材走势分析	11月上旬，西北家种药材迎来集中产新季，各类药材上市量大，走动缓慢，价格稳中有落，野生药材资源采集力度减小，刚性需求不减，价格优势明显，亮点纷呈。节菖蒲产新...
